rb    omega	Omega	   i	    e	      a
192     131.5     166.2      28.9     0.487     0.813
193     140.1      93.9       3.2     0.433     0.858
194     148.3      58.0      18.5     0.358     0.884
195     146.3      81.4       8.5     0.320     0.780
196       8.3     234.0      13.5     0.205     0.846
197     235.4      37.1       4.2     0.388     0.922
198     301.6     220.2      12.4     0.348     0.989
199       3.2     234.4      26.2     0.326     0.906
200     253.4      22.1       3.2     0.269     0.990
201     183.6      81.2      24.3     0.380     0.695
202     158.1      37.6      21.7     0.681     0.818
203     324.2     212.7      10.6     0.554     0.780
204     295.2     196.6      16.0     0.359     0.990
205     127.5       9.8       1.5     0.397     0.953
206     139.4      10.2      21.1     0.519     0.957
207     144.4     357.9       5.1     0.338     0.896
208     209.1       2.6      23.4     0.407     0.883
209     291.1     189.5       1.9     0.126     0.964
210     135.0       5.1      21.1     0.479     0.928
211       7.4     114.2       8.2     0.449     0.909
212     241.2     303.6      14.1     0.248     0.869
213      75.4      19.0       3.3     0.510     0.943
214     295.8     177.6      21.8     0.199     0.923
215      52.9     104.8       9.9     0.302     0.962
216     108.6     352.7       5.7     0.820     0.783
217     249.0     249.4       5.8     0.276     0.979
218     337.0      86.2       3.1     0.229     0.854
219     201.4     250.9       6.5     0.155     0.892
220     347.5      67.1       5.1     0.412     0.850
221     152.8     246.1      25.4     0.157     0.974
222     316.8      39.2       7.0     0.093     0.984
223     220.7     198.9       6.9     0.202     0.894
224     187.4     196.9      28.8     0.375     0.855
225     324.8      10.0      11.1     0.126     0.923
226     199.0     175.5      19.8     0.760     0.745
227     181.8     101.0      28.3     0.305     0.616
228     145.6     225.7       1.8     0.671     0.957
229     105.8     246.4       5.1     0.627     0.626
230     234.8      93.4       7.4     0.084     0.958
231      20.1     321.3      44.8     0.072     0.945
232      21.4     348.2      15.8     0.259     0.843
233     355.5     327.5      26.8     0.739     0.943
234       0.5     342.6      19.0     0.226     0.821
235      28.6     338.1      41.9     0.196     0.876
236      42.3     341.3       3.2     0.123     0.929
237     166.4     125.7      10.2     0.501     0.955
238     248.1      86.0      20.4     0.587     0.663
239     114.3     150.7      24.5     0.380     0.852
240     188.0     144.7       6.5     0.320     0.853
241      54.1     322.9      10.6     0.253     0.969
242     349.7     321.3      15.9     0.319     0.767
243     124.1     137.3       0.6     0.451     0.912
244       7.2     331.6       7.2     0.348     0.771
245       4.7     344.1      30.0     0.137     0.961
246     155.3     139.9      29.2     0.650     0.829
247     350.4     337.0       3.1     0.341     0.857
248      63.7     274.7       6.2     0.284     0.942
249      34.9     277.3       1.7     0.120     0.953
250      64.7     255.7       7.7     0.271     0.987
251      66.2     236.7       8.5     0.210     0.973
252     204.1      55.5       6.5     0.428     0.794
253      91.2     114.8      43.3     0.729     0.965
254     155.1      43.2       7.2     0.225     0.882
255     161.6      42.1       6.0     0.431     0.773
256      42.8     223.2      16.7     0.386     0.899
257     163.5      39.3       7.1     0.219     0.901
258     318.7     225.6      10.1     0.098     0.966
259     194.6      62.4       9.3     0.359     0.936
260      34.7     220.3       1.2     0.091     0.976
261     179.9      53.8      13.1     0.150     0.972
262      70.7     217.8      30.9     0.187     0.987
263      44.6     211.2       8.8     0.515     0.906
264     236.2      31.4       9.6     0.094     0.968
265      25.2     156.5       0.6     0.399     0.773
266     273.5     337.9       1.0     0.175     0.951
267     146.6      26.0       8.2     0.121     0.907
268     202.7      24.4      12.0     0.573     0.957
269     146.1      15.0       9.9     0.303     0.896
270     145.0      18.2      11.4     0.258     0.875
271       1.3     205.2      14.9     0.311     0.967
272      29.9     183.6      10.6     0.540     0.793
273      58.0     181.2      22.6     0.510     0.954
274     219.0      12.1      13.0     0.595     0.868
275     238.0      11.9       8.2     0.121     0.968
276      12.4     185.8       3.5     0.534     0.690
277     345.7     193.7       6.9     0.248     0.835
278     173.9     339.7       8.6     0.466     0.912
279     189.8     348.1       4.1     0.378     0.756
280     309.3     164.4       2.7     0.198     0.957
281     195.2     355.3       2.4     0.191     0.928
282      47.3     171.9      15.1     0.500     0.946
283     350.8     159.9       2.6     0.237     0.837
284       7.8     141.7       6.7     0.421     0.729
285     169.4     323.2      16.6     0.445     0.881
286     201.5     281.9      33.4     0.359     0.758
287     358.3     109.4      19.2     0.174     0.972
288     346.6      85.6      17.5     0.050     0.984
289     237.3     262.8      25.2     0.395     0.938
290     250.6     227.9      13.4     0.109     0.986
291     133.2     205.8      33.0     0.470     0.892
292     138.1     177.6      48.4     0.266     0.993
293      47.0     328.6      20.8     0.886     0.837
294     237.4      62.3       8.4     0.783     0.550
295      78.9     297.5      18.7     0.418     0.871
296     169.1     166.3       3.1     0.367     0.755
297     226.0     158.4      21.7     0.410     0.820
298      45.8     307.9       5.8     0.196     0.927
299     209.2     159.2       5.4     0.364     0.811
300      61.3     332.6       7.5     0.368     0.988
301     327.0     327.1      13.1     0.312     0.874
302      77.1     329.1       2.6     0.116     0.989
303     200.0     123.0      30.0     0.344     0.866
304      44.5     321.7       2.9     0.387     0.855
305     152.3     142.7       7.1     0.180     0.942
306     261.4     125.2       0.8     0.173     0.980
307     245.1      61.0      18.5     0.335     0.833
308     241.6     120.3      21.1     0.337     0.945
309     133.3     168.4      12.7     0.331     0.787
310     359.2     297.6       9.3     0.344     0.734
311     301.7     297.9       3.5     0.142     0.932
312      55.8     271.0       6.8     0.420     0.858
313     172.5     107.2      11.7     0.467     0.799
314       5.6     283.3      11.9     0.374     0.720
315      95.3     205.3      10.5     0.403     0.919
316     171.0      86.4      12.9     0.123     0.898
317     343.4     296.7       0.5     0.214     0.873
318      29.1     266.8       8.5     0.301     0.839
319      67.5     260.7      17.5     0.308     0.984
320     351.4     260.8      16.8     0.376     0.907
321     318.6     311.0      24.8     0.183     0.785
322       9.7     252.7      21.2     0.447     0.800
323     290.9     328.1      11.6     0.300     0.917
324     149.4      62.0       5.6     0.289     0.828
325     162.0      65.3       4.9     0.180     0.849
326     346.4     258.8      31.0     0.421     0.767
327     115.2      96.6       5.9     0.304     0.818
328     327.0     231.3      14.6     0.377     0.892
329     126.5      47.3       9.8     0.291     0.934
330     222.2      35.2      14.3     0.207     0.890
331     177.3      52.3      19.4     0.502     0.844
332     210.9      30.8      26.2     0.158     0.932
333      68.6      91.9       2.9     0.470     0.851
334     299.8     225.4       5.5     0.580     0.947
335     315.2     195.4      11.6     0.398     0.940
336      38.3     193.8       2.6     0.175     0.985
337     224.3       1.3      32.5     0.329     0.922
338     166.1     358.5       4.6     0.293     0.881
339     305.6     228.1       5.9     0.281     0.949
340     182.9     347.5       4.8     0.346     0.805
341     261.1     271.0      23.9     0.231     0.906
342     110.3      93.5       1.4     0.301     0.951
343     331.6     161.2       2.8     0.046     0.985
344     124.8       4.9       3.4     0.284     0.804
345      29.4     115.2      20.1     0.576     0.848
346     174.5     291.8      27.3     0.605     0.839
347     354.1      42.5       9.4     0.525     0.616
348      17.7      41.0       6.0     0.582     0.672
349      22.6      34.8      16.4     0.261     0.849
350     316.4      36.0      33.0     0.319     0.846
351     242.8     183.8      10.1     0.179     0.959
352     154.7     280.8       1.6     0.199     0.955
353       3.2      15.2      14.6     0.343     0.923
354      17.7     336.2       1.8     0.498     0.695
355     187.5     162.3      26.5     0.337     0.864
356      29.6     303.3      10.2     0.755     0.676
357     201.4     140.8      12.9     0.707     0.793
358     153.2     146.8      24.4     0.422     0.820
359      25.6     305.9       8.3     0.366     0.913
360     139.7     123.3       4.1     0.649     0.982
361     191.8     127.8      14.1     0.512     0.923
362     189.9     100.7       7.7     0.322     0.772
363     328.4     281.8      15.6     0.297     0.821
364     340.0     282.7      22.2     0.333     0.744
365     223.0      70.9       3.6     0.273     0.818
366      20.0     274.3      12.8     0.372     0.760
367     327.9     288.7      19.6     0.551     0.711
368       9.2     282.3      16.9     0.414     0.784
369     149.9      84.9      17.2     0.266     0.841
370     238.5      75.7      32.6     0.320     0.968
371     176.1      69.4      23.1     0.576     0.672
372     115.1      49.3       2.1     0.233     0.945
373     226.2      40.1       0.2     0.226     0.892
374     358.5     223.7      24.5     0.427     0.741
375     313.9     216.1       5.4     0.116     0.958
376     127.6      59.0      14.3     0.570     0.937
377     139.7      32.6       5.7     0.170     0.893
378      18.2     196.3       0.7     0.225     0.838
379     199.6     346.0       2.4     0.134     0.924
380     304.8     195.2       4.8     0.368     0.949
381     185.8      14.9      25.6     0.233     0.827
382     230.4     273.5      23.3     0.372     0.681
383     152.1       8.5       5.2     0.417     0.841
